RECORD #(BIBLIO);MAT TYPE;008 Date One;008 Date Two;245|a;245|b;246|a;222|a;260|a;260|b;260|c;264|a;264|b;264|c;300;310;911;530;590;866;362
b1282396x;1  ;1914;1914;فتاة لبنان :;مجلة أدبية علمية روائية.;Fatāt Lubnān :;فتاة لبنان;;;;بيروت :;سليمة ابي راشد،;1914.;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 1986.;في المكتبة:1914:كانون الثاني-شباط.;
b13150054;1  ;1921;1923;فتى الارز.;;"Fatá al-arz$""Fatal-Arz""";فتى الارز;;;;بيروت :;الياس اسعد نعيم،;1921-1923.;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";اسبوعية;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 1999;في المكتبة:مج.1:ع.1-12(1921:آب،13-تشرين اول،29);صدر العدد الاول 6 آب 1921.
b12826650;s  ;1921;1923;فتى الأرز.;;"Fatá al-arz$""Fatal-Arz""";فتى الأرز;;;;بيروت :;إلياس أسعد نعيم،;1921-1923.;"مجلد : مصورات ؛ 37 سم";اسبوعية.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000398;تنقص الاعداد 2 و7 من السنة الاولى و21، 23 حتى آخر المجلد من السنة الثانية;في المكتبة :مج.1-2(1921-1923);صدر العدد الاول 6 آب 1921.
b21094962;s  ;1910;1967;فلسطين :;جريدة يومية سياسية أدبية إخبارية مصورة;"Filasṭīn :$""La Palestine""";فلسطين;;;;يافا :;[عيسى داود العيسى]،;1910-1967.;"مجلدات : مصورات ؛ 63 سم";;CEASE;متوفرة أيضاً على ميكروفيلم Mic-NA:000227.;;"في المكتبة: مج.14:ع.243(1932:كانون الثاني)؛ مج.16:ع.24، 230(1932: آذار، تشرين الثاني)؛ 1934:شباط-آب؛ 1935:كانون الثاني-1937:حزيران؛ 1939:كانون الثاني-نيسان؛ 1963:كانون الثاني-1967:آذار";
b12824033;1  ;1911;1967;فلسطين :;جريدة يومية سياسية أدبية إخبارية مصورة;"Filasṭīn :$""La Palestine""";فلسطين;;;;يافا :;[عيسى داود العيسى]،;1910-1967.;"29 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر أيضاً بنسخة ورقية.;نسخة مصورة على ميكروفيلم. تم التصوير في مكتبة الجامعة العبرية.;في المكتبة : 1911:تموز-1967:آذار.;
b12829894;s  ;1925;9999;قانون الموازنة العامة والموازنات الملحقة للعام ... /;;"Qānūn al-muwāzanah al-ʻāmmah wa-al-muwāzanāt al-mulḥaqah lil-ʻām ...$""موازنة سنة...""";قانون الموازنة العامة والموازنات الملحقة للعام ...;;;;بيروت :;وزارة المالية،;[1925]-;"مجلدات : رسوم بيانية ؛ 35 سم";سنوية;CEASE;;;في المكتبة:1926-1984، 1991، 1992، 1997،1996 ،1999-2002.;
b12829845;s  ;1921;1974;قانون ميزانية الجمهورية العراقية للسنة ... المالية /;;"Qānūn mīzānīyat al-Jumhūrīyah al-Irāqīyah lil-sanah ... al-mālīyah$""ميزانية الدولة العراقية لسنة ... المالية""$""ميزانية الجمهورية العراقية في سطور""$""ميزانية الحكومة العراقية للسنة ... المالية""$""الميزلنية العامة لسنة ...""$""الميزانية العمومية لسنة ...""$""قانون الميزانية العمومية لسنة ...""$""لائحة ميزانية الدولة العراقية للسنة ... المالية""";قانون ميزانية الجمهورية العراقية للسنة ... المالية;;;;بغداد، العراق :;وزارة المالية، مديرية الميزانية العامة،;[1921-1974];مجلدات;;CEASE;;;في المكتبة:1921 - 1945، 1947 - 1950، 1952، 1954 - 1957، 1959 - 1969، 1971 - 1974.;
b12829912;s  ;1923;1995;قطع حساب الموازنة العامة والموازنات الملحقة /;;"Qaṭ‘ ḥisāb al-muwāzanah al-‘āmmah wa-al-muwāzanāt al-mulḥaqah$""إيرادات ومصروفات الميزانية :""";قطع حساب الموازنة العامة والموازنات الملحقة;;;;لبنان :;وزارة المالية،;1923-[1995];مجلدات;سنوية.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000481;;في المكتبة:1923و1925-1928و1933-1936و 1946، 1951-1970، 1972-1977، 1979، 1993، 1995-;
b13547598;1  ;1923;1995;قطع حساب الموازنة العامة والموازنات الملحقة /;;"Qaṭ‘ ḥisāb al-muwāzanah al-‘āmmah wa-al-muwāzanāt al-mulḥaqah$""ايرادات ومصروفات الميزانية :""";قطع حساب الموازنة العامة والموازنات الملحقة;;;;لبنان :;وزارة المالية،;1923-[1995];"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة:1937-1960.;
b23277579;s  ;1899;19uu;كتاب الكلية الشرقية السنوي.;;;كتاب الكلية الشرقية السنوي;;;;زحلة، لبنان :;الكلية الشرقية،;[1899-19؟؟];;سنوية.;CEASE;;;في المكتبة:1900, 1901, 1902/1903, 1903/1904, 1904/1905, 1905/1906, 1907/1908, 1910, 1914.;
