RECORD #(BIBLIO);MAT TYPE;008 Date One;008 Date Two;245|a;245|b;246|a;222|a;260|a;260|b;260|c;264|a;264|b;264|c;300;310;911;530;590;866;362
b12818136;s  ;1911;1916;البيان :;مجلة جامعة.;"al-Bayān :$""مجلة البيان""$""البيان :""$""al-Bayan""";البيان;;;;مصر :;البيان،;1911-[1916];"3 مجلدات : مصورات ؛  23 سم";شهرية.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000488;;"في المكتبة: مج.1:ع.4-10(1911:تشرين الثاني-1912)؛ مج.2-4(1912:تشرين الثاني-1916:آذار)";صدر العدد الاول 1911.
b13581776;1  ;1911;1916;البيان :;مجلة جامعة.;"al-Bayān :$""مجلة البيان""$""البيان :""$""al-Bayan""";البيان;;;;مصر :;البيان،;1911-[1916];"بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;;في المكتبة:مج. 2-4 (1912: تشرين الثاني-1916:آذار);صدر العدد الاول 1911.
b12821640;1  ;1923;1930;البيان :;جريدة مصورة.;"البيان :$""al-Bayān :""";البيان;;;;بيروت :;بطرس البستاني،;1923-1930.;"4 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";أسبوعية.;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة :1925:تشرين الاول 11-1926:كانون اول،1928:كانون الثاني- كانون الاول 23، 1929: ايلول-1930:حزيران.;1923-1930.
b23277427;s  ;1923;1930;البيان :;جريدة مصورة.;البيان :;البيان;;;;بيروت :;بطرس البستاني،;1923-1930.;أسبوعية.;;CEASE;متوفر أيضاً على ميكروفيلم تحت رقم Mic-NA:000081.;;في المكتبة:مج.1:ع.1-مج.8:ع.315، 317-323(1923:كانون الثاني-1930:تموز);1923-1930.
b12822863;1  ;1911;9999;البيرق.;;al-Bayraq;البيرق;;;;الحدث، لبنان :;[الشركة اللبنانية للصحافة]،;1911-;"118 بكرة ميكروفيلم : سلبي وإيجابي ؛ 35 مم";يومية.;ACTIV;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة :1911:آب-1912، 1923:نيسان، 1928:آب-1932:آب، 1933:آب -1936:آب ، 1937:شباط-آب، 1938:شباط-آب، 1947: شباط-آب، 1948: كانون الثاني-1960: كانون اول، 1962: كانون الثاني- 1963:كانون اول ،1978:ايار-1982:ايار، 1983: كانون الثاني -1994: نيسان;
b14581784;s  ;1911;9999;البيرق.;;al-Bayraq;البيرق;;;;الحدث، لبنان :;[الشركة اللبنانية للصحافة]،;1911-;مجلدات : مصورات;يومية.;ACTIV;تصور الاعداد الجارية شهرياً على ميكروفيلم.;المكتبة تحتفظ بالشهر الجاري فقط. حتى يتم تصويره على ميكروفيلم.;"في المكتبة: مج.8:ع.488(1948:تشرين الأول)؛ ع.4200(1959:تشرين الثاني)؛ مج.18:ع.420(1930:نيسان)؛ مج.19:ع.635(1931:شباط)؛ مج.21:ع.1048، 1049(1932:تشرين الأول)؛ ع.3011(1940:أيلول)؛1978:أيار-كانون الأول؛ 1979:نيسان-1980:كانون الأول؛ 1981:نيسان-كانون الأول؛ 1984:كانون الثاني-أيلول؛ 1986:كانون الثاني-آذار، تموز-كانون الأول؛ 1986:تموز-كانون الأول؛ 1988:نيسان-حزيران، تشرين الأول -كانون الأول؛ 1989كانون الثاني-آذار، تشرين الأول-كانون الأول؛ 1990:تموز-1992:أيلول؛ 2";
b12877475;s  ;1920;1963;التجارة الخارجية للجمهورية العربية المتحدة /;;"al-Tijārah al-khārijīyah lil-Jumhūrīyah al-‘Arabīyah al-Muttaḥidah$""النشرة السنوية عن التجارة الخارجية""$""Foreign trade of the U.A.R""$""Annual statement of the foreign trade of egypt during ...""";التجارة الخارجية للجمهورية العربية المتحدة;;;;القاهرة :;الجهاز المركزي للتعبئة العامة والإحصاء،;[1920-1963];"12 مجلد ؛ 34 سم";سنوية.;CEASE;;;في المكتبة:1923/1920-1931، 1951/1950-1959، 1963/1962.;
b12818781;s  ;1927;1927;التجدد.;;al-Tajaddud;التجدد;;;;[صافيتا، سوريا] :;[أديب ميخائيل الطيار]،;1927-[1927؟];"1 مجلد : مصورات ؛ 23 سم";شهرية.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000411;;في المكتبة:س.1:ع.1-5(1927:آذار-تموز);صدر العدد الاول في آذار 1927.
b13149283;1  ;1927;19uu;التجدد.;;al-Tajaddud;التجدد;;;;[صافيتا، سوريا] :;[أديب ميخائيل الطيار]،;1927-[1927؟];"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";شهرية.;CEASE;متوفر أيضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 2000;في المكتبة:مج.1:ع.1-5(1927 : آذار - تموز);صدر العدد الأول في آذار 1927.
b23278432;s  ;1919;19uu;التحالف اللبناني.;;L' Alliance Libanaise :;التحالف اللبناني;;;;بوينس ايرس :;[جمعية التحالف اللبناني]،;1919-[19؟؟];"عدد ؛ 39 سم";;CEASE;;;في المكتبة:مج.2:ع.91(1920:كانون الثاني);
b18350550;s  ;1904;1906;التربية :;مجلة مدرسية.;"al-Tarbīyah :$""مجلة التربية""";التربية;;;;مصر :;[الناشر غير محدد]،;[1904-1906];"مجلدات ؛ 24 سم";شهرية.;CEASE;;تحفظ في دائرة المحفوظات والمجموعات الخاصة.;في المكتبة:س.2:ع.1-ع.8(1905:تشرين الثاني-1906:أيار);[صدر العدد الاول حزيران 1904]
b23278018;s  ;1920;19uu;التربية والتعليم :;مجلة تهذبية شهرية.;;التربية والتعليم;;;;دمشق، سوريا :;المطبعة العربية السورية،;1920-[19؟؟];"مجلدات ؛ 24 سم";شهرية.;CEASE;;;في المكتبة: مج.1:ع.1-10(1920:كانون الثاني-تشرين الأول);المجلد الأول، العدد الأول (كانون الثاني 1920)
b26013198;s  ;1908;9999;التقدم :;جريدة يومية سياسية أدبية /;"التقدم :$""جريدة التقدم""$""Al-Takadoom :""$""Takadom""$""Takadum""$""Taqadom""";التقدم;;;;حلب، [سوريا] :;مطبعة التقدم،;1328 هـ. = 1908 م.-;"880-05 مجلدات : مصورات ؛ 48 سم";يومية.;CEASE;;;"في المكتبة: مج.21،ع.2832،2860(1928)؛ مج.23،ع.3363-3364( 1930)";السنة الاولى العدد الاول 1908-
b12820751;1  ;1874;1885;التقدم.;;al-Taqaddum;التقدم;;;;بيروت :;[المطبعة الكلية]،;1874-1885.;"بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة :(1874:كانون الثاني -1875:حزيران ،1881:كانون الثاني-1885: كانون الاول);العدد الاول (:كانون الثاني1874)
b12877499;s  ;1929;1931;التقرير الاداري للجنة إسالة الماء لمدينة بغداد /;;al-Taqrīr al-idārī li-Lajnat Isālat al-Miyāh liMadīnat Baghdād;;;;;بغداد :;لجنة إسالة المياه لمدينة بغداد،;[1929-1931];2 مجلدات;;CEASE;;;في المكتبة: 1930/1929-1931/1930.;
b12874036;s  ;1922;1958;التقرير السنوي عن سير المعارف لسنة ... /;;"التقرير السنوي عن سير التربية والتعليم$""al-Taqrīr al-sanawī an sayr al-maārif li-sanat ...""";التقرير السنوي عن سير التربية و التعليم;;;;بغداد :;وزارة التخطيط، مديرية الإحصاء العامة،;[1922-1958];"مجلدات : رسوم بيانية ؛ 34 سم";سنوية.;CEASE;;;في المكتبة:1922/1923-1957/1958.;
b13335509;s  ;1920;1930;التقرير السنوي لادارة معارف فلسطين /;;al-Taqrīr al-sanawī li-idārat ma‘ārif Filasṭīn;;;;;القدس :;الكلية العربية،;[1920-1930];"مجلدات ؛ 33 سم";;CEASE;;تحفظ الاجزاء في دائرة الارشيف والمجموعات الخاصة;في المكتبة:مج.11:ع.1(1930:كانون اول،28);
b12830082;s  ;1920;1927;التقرير السنوي لإدارة الصحة العامة /;;"al-Taqrīr al-sanawī li-Idārat al-Ṣiḥḥah al-‘Āmmah$""التقرير الصحي لعاصمة العراق""";;;;;بغداد :;إدارة الصحة العامة،;[1920-1927];"6 مجلدات ؛ 34 سم";سنوية.;CEASE;;;في المكتبة:1920-1922، 1927.;
b13900109;s  ;1922;19uu;التقرير الصحي السنوي لمديرية الصحة العامة /;;al-Taqrīr al-ṣiḥḥī al-sanawī li-Mudīrīyat al-Ṣiḥḥah al-Āmmah;التقرير الصحي السنوي لمديرية الصحة العامة ;;;;بغداد :;وزارة الداخلية، مديرية الصحة العامة،;[1922-19؟؟];"مجلدات ؛ 32 سم";;CEASE;;;في المكتبة:1922.;يستند الوصف الى العام 1922.
b12820076;s  ;1926;1927;التقويم التونسي :;فلكي، جغرافي، تاريخي، أدبي، علمي، طبي، إقتصادي،  فلاحي، قانوني، سياسي، إدراي، تجاري، مشاهير الرجال، رجال العصر.;"التقويم السنوي :$""al-Taqwīm al-Tūnisī :""";التقويم التونسي;;;;تونس :;المطبعة الرسمية،;[1923-1927];"مجلدات : مصورات ؛ 24 سم";;CEASE;;;في المكتبة :(1923-1924)، (1926 - 1927);
b18350525;s  ;1893;18uu;التلميذ /;;al-Tilmīdh;;;;;[مصر] :;جمعية التعاون الإسلامي،;1893-[18؟؟];"مجلدات ؛ 24 سم";;CEASE;;تحفظ في دائرة المحفوظات والمجموعات الخاصة.;في المكتبة:مج.1:ج.1 (1893 : آذار);صدر الجزء الاول من السنة الاولى آذار 1893.
b13169312;1  ;1910;1911;التلميذ :;مجلة مدرسية أخلاقية /;al-Tilmīdh :;التلميذ;;;;بيروت :;الجمعية العلمية في المدرسة العثمانية،;1910-1911.;"2 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم . تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية 2001.;في المكتبة:مج.1(1910-1911);
b12827198;s  ;1927;1929;التمدن الإسلامي :;مجلة تبحث في الدين والأدب وشؤون الإجتماع.;al-Tamaddun al-islāmī :;التمدن الإسلامي;;;;طرابلس :;عبد الحليم مراد،;1996.;"1 مجلد ؛ 28 سم";نصف شهرية.;CEASE;ايضاً في المكتبة نسخة مصورة على ميكروفيلم رقم: Mic-NA:000539;;في المكتبة:س.1:ج.2-س.2:ج.5(1927-1929);صدر العدد الاول سنة 1927.
b14505332;1  ;1927;1929;التمدن الإسلامي :;مجلة تبحث في الدين والأدب وشؤون الإجتماع.;al-Tamaddun al-islāmī :;التمدن الإسلامي;;;;طرابلس :;عبد الحليم مراد،;1996.;"1 بكرة ميكروفيلم : سلبي وايجابي ; 35 مم.";;CEASE;متوفر ايضاً نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة:1929:كانون الثاني-1927:كانون الأول.;صدر العدد الاول سنة 1927.
b1281880x;s  ;1926;1927;التمدن.;;"al-Tamaddun.$""مجلة التمدن.""";التمدن;;;;توكومان، الارجنتين :;دار التمدن،;1926-1927.;"1 مجلد : مصورات ؛ 25 سم";شهرية.;CEASE;متوفر ايضاً على ميكروفيلم :Mic-NA:000410;;في المكتبة :مج. 1(1926:آب - 1927: ايار);صدر العدد الاول في آب 1926.
b13149647;1  ;1926;1927;التمدن.;;"al-Tamaddun.$""مجلة التمدن.""";;;;;توكومان، الارجنتين :;دار التمدن،;1926-1927.;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة الجامعة الاميركية في بيروت، 2001; في المكتبة:مج. 1:ع 1 -10(1926:آب-1927: آيار;صدر العدد الاول في آب 1926.
b13581685;1  ;1881;1881;التنكيت والتبكيت :;صحيفة وطنية أدبية تهذيبية.;al-Tankīt wa-al-tabkīt :;التنكيت والتبكيت;;;;بيروت :;دار صادر،;1995.;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;;في المكتبة:1881:يونيو6-أكتوبر23.;صدر العدد الاول في 6 حزيران 1881.
b18448768;s  ;1924;19uu;التياترو :;مجلة شهرية مصورة تساعد على رقي المسرح المصري.;Tiyātrū :;التياترو;;;;مصر :;محمد شكري،;1924-[19؟؟];;شهرية.;CEASE;;;في المكتبة: ع.2-12(1924:تشرين الثاني-1925:أيلول);
b1281894x;s  ;1896;1897;الثريا.;;al-Thurayyā;الثريا ;;;;القاهرة :;إدوارد جدي،;1896-1897.;1 مجلد : مصورات، 24 سم;شهرية.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000207;;في المكتبة:مج.1(1896 - 1897);صدر العدد الاول سنة 1896.
b12823776;1  ;1896;1897;الثريا.;;al-Thurayyā;الثريا ;;;;القاهرة :;إدوارد جدي،;1896-1897.;"بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;;في المكتبة :1896: حزيران 15-1897:كانون الاول،1898: آب -1899:آيار، 1901: كانون الثاني-كانون الاول.;صدر العدد الاول سنة 1896.
b23278493;s  ;1897;190u;الثريا.;;مجلة الثريا;الثريا;;;;مصر :;[الناشر غير محدد]،;[1897-19؟0];"مجلد ؛ 24 سم";شهرية.;CEASE;;;في المكتبة:مج.5:ع.2-12(1902:آب-1903:آب);
b21207525;s  ;1906;1906;الثلثة :;The Commercial triumvirate : a commercial tri-weekly review of commercial, social and economical discussion = مجلة تجارية اجتماعية اقتصادية تصدر مرة كل ثلاثة أسابيع.;"مجلة تجارية اجتماعية اقتصادية تصدر مرة كل ثلاثة أسابيع.$""The Commercial triumvirate :""$""Al-thulthat :""";الثلثة;;;;بيروت :;[الكلية السورية الانجيلية]،;1906.;4 أعداد.;مرة كل ثلاثة أسابيع.;CEASE;;"The volume is available in AUB Archives/AA.4.2.1Student/Student Manuscript Magazines Box 8.$""تحفظ في دائرة الارشيف والمجموعات الخاصة.""";في المكتبة :ع. 1-4(1906);
